stage,task,task_id,start,finish,deserial,serial,run_time,jvm_gc
359,486,3,1452689906155,1452689907263,10,0,1092,18
362,487,0,1452689907339,1452689908498,12,0,1141,18
362,488,1,1452689907339,1452689908480,11,0,1123,18
362,489,2,1452689907339,1452689908460,11,0,1100,18
362,490,3,1452689907340,1452689908458,10,0,1101,18
365,491,0,1452689908524,1452689909683,11,0,1141,18
365,492,1,1452689908524,1452689909666,12,0,1124,18
365,493,2,1452689908524,1452689909654,12,0,1111,18
365,494,3,1452689908524,1452689909657,11,0,1115,18
368,495,0,1452689909709,1452689910884,13,0,1155,19
368,496,1,1452689909709,1452689910870,11,0,1144,19
368,497,2,1452689909709,1452689910865,12,0,1136,19
368,498,3,1452689909709,1452689910871,11,0,1144,19
371,499,0,1452689910911,1452689912077,12,0,1148,15
371,500,1,1452689910911,1452689911995,11,0,1066,0
371,501,2,1452689910911,1452689912069,11,0,1140,15
371,502,3,1452689910911,1452689912035,12,0,1105,15
374,503,0,1452689912104,1452689913262,11,1,1139,0
374,504,1,1452689912104,1452689913228,10,0,1108,0
374,505,2,1452689912104,1452689913221,11,0,1098,0
374,506,3,1452689912105,1452689913231,12,0,1109,0
377,507,0,1452689913292,1452689914473,13,0,1161,8
377,508,1,1452689913292,1452689914384,11,0,1073,8
377,509,2,1452689913293,1452689914437,12,0,1126,8
377,510,3,1452689913293,1452689914424,12,0,1113,8
380,511,0,1452689914500,1452689915665,12,0,1146,8
